category,item code,item,assigned sub group,UOM,SIZE,QTY,approver,with ATD and amount
uniform & PPEs,CM.CU.02.0047S,"Uniform, Production Black T-Shirt, Dri-fit long sleeve S",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0047M,"Uniform, Production Black T-Shirt, Dri-fit long sleeve M",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0047L,"Uniform, Production Black T-Shirt, Dri-fit long sleeve L",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0047XL,"Uniform, Production Black T-Shirt, Dri-fit long sleeve XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0047XXL,"Uniform, Production Black T-Shirt, Dri-fit long sleeve XXL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.00473XL,"Uniform, Production Black T-Shirt, Dri-fit long sleeve 3XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.00474XL,"Uniform, Production Black T-Shirt, Dri-fit long sleeve 4XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.00475XL,"Uniform, Production Black T-Shirt, Dri-fit long sleeve 5XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.00476XL,"Uniform, Production Black T-Shirt, Dri-fit long sleeve 6XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0046S,"Uniform, Production Black T-Shirt, Dri-fit short sleeve S",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0046M,"Uniform, Production Black T-Shirt, Dri-fit short sleeve M",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0046L,"Uniform, Production Black T-Shirt, Dri-fit short sleeve L",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0046XL,"Uniform, Production Black T-Shirt, Dri-fit short sleeve XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0046XXL,"Uniform, Production Black T-Shirt, Dri-fit short sleeve XXL",Facilities Management -laundry,pc,,,,
